graph_id,vertices,edges,density,variant,source,weight_model,num_sccs,operations_count,execution_time_ns
1,6,10,sparse,pure_dag,0,node,6,32,17000
2,8,13,sparse,one_cycle,2,node,1,42,12000
3,10,22,sparse,two_cycles,5,node,3,64,28100
4,6,11,dense,pure_dag,0,node,6,34,9200
5,8,29,dense,one_cycle,4,node,1,74,10300
6,10,51,dense,two_cycles,1,node,1,122,23200
7,14,27,sparse,one_cycle,5,node,1,82,21800
8,16,38,sparse,two_cycles,6,node,2,108,23500
9,20,55,sparse,multiple_sccs,10,node,4,150,31500
10,14,93,dense,one_cycle,6,node,1,214,49900
11,16,113,dense,two_cycles,4,node,1,258,44500
12,20,120,dense,multiple_sccs,7,node,3,280,36200
13,30,122,sparse,pure_dag,0,node,30,304,54500
14,40,175,sparse,multiple_sccs,2,node,3,430,69600
15,50,557,sparse,two_cycles,21,node,1,1214,156800
16,30,311,dense,pure_dag,0,node,30,682,278900
17,40,459,dense,multiple_sccs,13,node,4,998,192700
18,50,1402,dense,two_cycles,13,node,1,2904,350900
