graph_id,vertices,edges,density,variant,source,weight_model,operations_count,execution_time_ns
1,6,10,sparse,pure_dag,0,node,26,22100
2,8,13,sparse,one_cycle,2,node,0,200
3,10,22,sparse,two_cycles,5,node,0,200
4,6,11,dense,pure_dag,0,node,28,14800
5,8,29,dense,one_cycle,4,node,0,200
6,10,51,dense,two_cycles,1,node,0,100
7,14,27,sparse,one_cycle,5,node,0,200
8,16,38,sparse,two_cycles,6,node,0,300
9,20,55,sparse,multiple_sccs,10,node,0,100
10,14,93,dense,one_cycle,6,node,0,2000
11,16,113,dense,two_cycles,4,node,0,200
12,20,120,dense,multiple_sccs,7,node,0,200
13,30,122,sparse,pure_dag,0,node,274,57700
14,40,175,sparse,multiple_sccs,2,node,0,200
15,50,557,sparse,two_cycles,21,node,0,200
16,30,311,dense,pure_dag,0,node,652,221000
17,40,459,dense,multiple_sccs,13,node,0,200
18,50,1402,dense,two_cycles,13,node,0,100
