graph_id,vertices,edges,density,variant,source,weight_model,total_operations_count,total_execution_time_ns
1,6,10,sparse,pure_dag,0,node,74,47100
2,8,13,sparse,one_cycle,2,node,63,17000
3,10,22,sparse,two_cycles,5,node,96,49900
4,6,11,dense,pure_dag,0,node,79,27500
5,8,29,dense,one_cycle,4,node,111,16300
6,10,51,dense,two_cycles,1,node,183,29800
7,14,27,sparse,one_cycle,5,node,123,28300
8,16,38,sparse,two_cycles,6,node,162,32200
9,20,55,sparse,multiple_sccs,10,node,225,41100
10,14,93,dense,one_cycle,6,node,321,58900
11,16,113,dense,two_cycles,4,node,387,54800
12,20,120,dense,multiple_sccs,7,node,420,47000
13,30,122,sparse,pure_dag,0,node,730,125300
14,40,175,sparse,multiple_sccs,2,node,645,87600
15,50,557,sparse,two_cycles,21,node,1821,195000
16,30,311,dense,pure_dag,0,node,1675,537100
17,40,459,dense,multiple_sccs,13,node,1497,259000
18,50,1402,dense,two_cycles,13,node,4356,548800
