graph_id,vertices,edges,density,variant,source,weight_model,operations_count,execution_time_ns
1,6,10,sparse,pure_dag,0,node,16,8000
2,8,13,sparse,one_cycle,2,node,21,4800
3,10,22,sparse,two_cycles,5,node,32,21600
4,6,11,dense,pure_dag,0,node,17,3500
5,8,29,dense,one_cycle,4,node,37,5800
6,10,51,dense,two_cycles,1,node,61,6500
7,14,27,sparse,one_cycle,5,node,41,6300
8,16,38,sparse,two_cycles,6,node,54,8400
9,20,55,sparse,multiple_sccs,10,node,75,9500
10,14,93,dense,one_cycle,6,node,107,7000
11,16,113,dense,two_cycles,4,node,129,10100
12,20,120,dense,multiple_sccs,7,node,140,10600
13,30,122,sparse,pure_dag,0,node,152,13100
14,40,175,sparse,multiple_sccs,2,node,215,17800
15,50,557,sparse,two_cycles,21,node,607,38000
16,30,311,dense,pure_dag,0,node,341,37200
17,40,459,dense,multiple_sccs,13,node,499,66100
18,50,1402,dense,two_cycles,13,node,1452,197800
